S.NO,Product_name, Product_Price ,Brand,Discount,Orginal Price,Type
0,Men Solid Polo Neck Black T-Shirt,699,Allen Solly,30%,999,TopWear
1,Men Solid Polo Neck White T-Shirt,699,Allen Solly,30%,999,TopWear
2,Men Printed Polo Neck Multicolor T-Shirt,719,U.S. POLO ASSN.,60%,"1,799",TopWear
3,Men Regular Fit Striped Spread Collar Casual Shirt,"1,349",PETER ENGLAND,25%,"1,799",TopWear
4,Men Solid Polo Neck Light Blue T-Shirt,699,Allen Solly,30%,999,TopWear
5,Men Typography Round Neck White T-Shirt,839,ADIDAS,40%,"1,399",TopWear
6,Men Printed Polo Neck Blue T-Shirt,379,Wrangler,80%,"1,895",TopWear
7,Men Slim Fit Self Design Spread Collar Casual Shirt,"1,279",PETER ENGLAND,20%,"1,599",TopWear
8,Men Striped Polo Neck White T-Shirt,679,U.S. POLO ASSN.,60%,"1,699",TopWear
9,Men Color Block Polo Neck Grey T-Shirt,719,U.S. POLO ASSN.,60%,"1,799",TopWear
10,Men Slim Fit Striped Spread Collar Casual Shirt,"1,049",PETER ENGLAND,34%,"1,599",TopWear
11,Men Slim Fit Solid Casual Shirt,"1,299",PETER ENGLAND,35%,"1,999",TopWear
12,Men Embroidered Polo Neck Navy Blue T-Shirt,679,U.S. POLO ASSN.,60%,"1,699",TopWear
13,Men Striped Polo Neck Multicolor T-Shirt,679,U.S. POLO ASSN.,60%,"1,699",TopWear
14,Men Striped Polo Neck Beige T-Shirt,759,U.S. POLO ASSN.,60%,"1,899",TopWear
15,Men Embroidered Polo Neck Green T-Shirt,849,U.S. POLO ASSN.,50%,"1,699",TopWear
16,Men Slim Fit Solid Casual Shirt,"1,199",PETER ENGLAND,40%,"1,999",TopWear
17,Men Regular Fit Checkered Spread Collar Casual Shirt,"1,259",PETER ENGLAND,30%,"1,799",TopWear
18,Men Slim Fit Solid Cut Away Collar Casual Shirt,493,HIGHLANDER,62%,"1,299",TopWear
19,Men Solid Polo Neck Multicolor T-Shirt,719,U.S. POLO ASSN.,60%,"1,799",TopWear
20,Men Super Slim Fit Solid Casual Shirt,"1,049",PETER ENGLAND,41%,"1,799",TopWear
21,Men Slim Fit Self Design Casual Shirt,"1,169",PETER ENGLAND,35%,"1,799",TopWear
22,Men Color Block Polo Neck Yellow T-Shirt,719,U.S. POLO ASSN.,60%,"1,799",TopWear
23,Men Color Block Polo Neck Grey T-Shirt,719,U.S. POLO ASSN.,60%,"1,799",TopWear
24,Men Printed Round Neck Dark Blue T-Shirt,499,U.S. POLO ASSN.,50%,999,TopWear
25,Men Typography Round Neck White T-Shirt,909,ADIDAS,35%,"1,399",TopWear
26,Men Slim Fit Solid Casual Shirt,"1,619",PETER ENGLAND,10%,"1,799",TopWear
27,Men Slim Fit Striped Spread Collar Formal Shirt,"1,349",PETER ENGLAND,25%,"1,799",TopWear
28,Men Solid V Neck White T-Shirt,454,U.S. POLO ASSN.,35%,699,TopWear
29,Solid Men Solid Round Neck Black T-Shirt,494,LEVI'S,10%,549,TopWear
30,Men Slim Fit Checkered Formal Shirt,"1,039",PETER ENGLAND,35%,"1,599",TopWear
31,Men Slim Fit Printed Spread Collar Formal Shirt,"1,259",PETER ENGLAND,30%,"1,799",TopWear
32,Men Color Block Polo Neck Multicolor T-Shirt,719,U.S. POLO ASSN.,60%,"1,799",TopWear
33,Men Solid Polo Neck Yellow T-Shirt,679,U.S. POLO ASSN.,60%,"1,699",TopWear
34,Men Striped Polo Neck Black T-Shirt,"1,199",ADIDAS,25%,"1,599",TopWear
35,Men Typography Round Neck Black T-Shirt,839,ADIDAS,40%,"1,399",TopWear
36,Men Slim Fit Checkered Spread Collar Formal Shirt,909,PETER ENGLAND,35%,"1,399",TopWear
37,Men Regular Fit Solid Spread Collar Formal Shirt,"1,049",PETER ENGLAND,34%,"1,599",TopWear
38,Men Striped Polo Neck Multicolor T-Shirt,759,U.S. POLO ASSN.,60%,"1,899",TopWear
39,Men Slim Fit Solid Hood Collar Casual Shirt,759,HIGHLANDER,51%,"1,549",TopWear
40,Men Solid Polo Neck Black T-Shirt,699,Allen Solly,30%,999,TopWear
41,Men Solid Polo Neck White T-Shirt,699,Allen Solly,30%,999,TopWear
42,Men Printed Polo Neck Multicolor T-Shirt,719,U.S. POLO ASSN.,60%,"1,799",TopWear
43,Men Regular Fit Striped Spread Collar Casual Shirt,"1,349",PETER ENGLAND,25%,"1,799",TopWear
44,Men Solid Polo Neck Light Blue T-Shirt,699,Allen Solly,30%,999,TopWear
45,Men Typography Round Neck White T-Shirt,839,ADIDAS,40%,"1,399",TopWear
46,Men Printed Polo Neck Blue T-Shirt,379,Wrangler,80%,"1,895",TopWear
47,Men Slim Fit Self Design Spread Collar Casual Shirt,"1,279",PETER ENGLAND,20%,"1,599",TopWear
48,Men Striped Polo Neck White T-Shirt,679,U.S. POLO ASSN.,60%,"1,699",TopWear
49,Men Color Block Polo Neck Grey T-Shirt,719,U.S. POLO ASSN.,60%,"1,799",TopWear
50,Men Slim Fit Striped Spread Collar Casual Shirt,"1,049",PETER ENGLAND,34%,"1,599",TopWear
51,Men Slim Fit Solid Casual Shirt,"1,299",PETER ENGLAND,35%,"1,999",TopWear
52,Men Embroidered Polo Neck Navy Blue T-Shirt,679,U.S. POLO ASSN.,60%,"1,699",TopWear
53,Men Striped Polo Neck Multicolor T-Shirt,679,U.S. POLO ASSN.,60%,"1,699",TopWear
54,Men Striped Polo Neck Beige T-Shirt,759,U.S. POLO ASSN.,60%,"1,899",TopWear
55,Men Embroidered Polo Neck Green T-Shirt,849,U.S. POLO ASSN.,50%,"1,699",TopWear
56,Men Slim Fit Solid Casual Shirt,"1,199",PETER ENGLAND,40%,"1,999",TopWear
57,Men Regular Fit Checkered Spread Collar Casual Shirt,"1,259",PETER ENGLAND,30%,"1,799",TopWear
58,Men Slim Fit Solid Cut Away Collar Casual Shirt,493,HIGHLANDER,62%,"1,299",TopWear
59,Men Solid Polo Neck Multicolor T-Shirt,719,U.S. POLO ASSN.,60%,"1,799",TopWear
60,Men Super Slim Fit Solid Casual Shirt,"1,049",PETER ENGLAND,41%,"1,799",TopWear
61,Men Slim Fit Self Design Casual Shirt,"1,169",PETER ENGLAND,35%,"1,799",TopWear
62,Men Color Block Polo Neck Yellow T-Shirt,719,U.S. POLO ASSN.,60%,"1,799",TopWear
63,Men Color Block Polo Neck Grey T-Shirt,719,U.S. POLO ASSN.,60%,"1,799",TopWear
64,Men Printed Round Neck Dark Blue T-Shirt,499,U.S. POLO ASSN.,50%,999,TopWear
65,Men Typography Round Neck White T-Shirt,909,ADIDAS,35%,"1,399",TopWear
66,Men Slim Fit Solid Casual Shirt,"1,619",PETER ENGLAND,10%,"1,799",TopWear
67,Men Slim Fit Printed Spread Collar Formal Shirt,"1,259",PETER ENGLAND,30%,"1,799",TopWear
68,Men Solid V Neck White T-Shirt,454,U.S. POLO ASSN.,35%,699,TopWear
69,Solid Men Solid Round Neck Black T-Shirt,494,LEVI'S,10%,549,TopWear
70,Men Slim Fit Striped Spread Collar Formal Shirt,"1,349",PETER ENGLAND,25%,"1,799",TopWear
71,Men Slim Fit Checkered Spread Collar Formal Shirt,909,PETER ENGLAND,35%,"1,399",TopWear
72,Men Color Block Polo Neck Multicolor T-Shirt,719,U.S. POLO ASSN.,60%,"1,799",TopWear
73,Men Solid Polo Neck Yellow T-Shirt,679,U.S. POLO ASSN.,60%,"1,699",TopWear
74,Men Striped Polo Neck Black T-Shirt,"1,199",ADIDAS,25%,"1,599",TopWear
75,Men Typography Round Neck Black T-Shirt,839,ADIDAS,40%,"1,399",TopWear
76,Men Slim Fit Checkered Formal Shirt,"1,039",PETER ENGLAND,35%,"1,599",TopWear
77,Men Regular Fit Solid Spread Collar Formal Shirt,"1,049",PETER ENGLAND,34%,"1,599",TopWear
78,Men Striped Polo Neck Multicolor T-Shirt,759,U.S. POLO ASSN.,60%,"1,899",TopWear
79,Men Slim Fit Solid Hood Collar Casual Shirt,759,HIGHLANDER,51%,"1,549",TopWear
80,Men Solid Polo Neck Black T-Shirt,699,Allen Solly,30%,999,TopWear
81,Men Solid Polo Neck White T-Shirt,699,Allen Solly,30%,999,TopWear
82,Men Printed Polo Neck Multicolor T-Shirt,719,U.S. POLO ASSN.,60%,"1,799",TopWear
83,Men Regular Fit Striped Spread Collar Casual Shirt,"1,349",PETER ENGLAND,25%,"1,799",TopWear
84,Men Solid Polo Neck Light Blue T-Shirt,699,Allen Solly,30%,999,TopWear
85,Men Printed Polo Neck Blue T-Shirt,379,Wrangler,80%,"1,895",TopWear
86,Men Typography Round Neck White T-Shirt,839,ADIDAS,40%,"1,399",TopWear
87,Men Slim Fit Self Design Spread Collar Casual Shirt,"1,279",PETER ENGLAND,20%,"1,599",TopWear
88,Men Striped Polo Neck White T-Shirt,679,U.S. POLO ASSN.,60%,"1,699",TopWear
89,Men Color Block Polo Neck Grey T-Shirt,719,U.S. POLO ASSN.,60%,"1,799",TopWear
90,Men Slim Fit Striped Spread Collar Casual Shirt,"1,049",PETER ENGLAND,34%,"1,599",TopWear
91,Men Slim Fit Solid Casual Shirt,"1,299",PETER ENGLAND,35%,"1,999",TopWear
92,Men Embroidered Polo Neck Navy Blue T-Shirt,679,U.S. POLO ASSN.,60%,"1,699",TopWear
93,Men Embroidered Polo Neck Green T-Shirt,849,U.S. POLO ASSN.,50%,"1,699",TopWear
94,Men Striped Polo Neck Beige T-Shirt,759,U.S. POLO ASSN.,60%,"1,899",TopWear
95,Men Striped Polo Neck Multicolor T-Shirt,679,U.S. POLO ASSN.,60%,"1,699",TopWear
96,Men Slim Fit Solid Casual Shirt,"1,199",PETER ENGLAND,40%,"1,999",TopWear
97,Men Regular Fit Checkered Spread Collar Casual Shirt,"1,259",PETER ENGLAND,30%,"1,799",TopWear
98,Men Slim Fit Solid Cut Away Collar Casual Shirt,350,HIGHLANDER,73%,"1,299",TopWear
99,Men Solid Polo Neck Multicolor T-Shirt,719,U.S. POLO ASSN.,60%,"1,799",TopWear
100,Men Super Slim Fit Solid Casual Shirt,"1,049",PETER ENGLAND,41%,"1,799",TopWear
101,Men Slim Fit Self Design Casual Shirt,"1,169",PETER ENGLAND,35%,"1,799",TopWear
102,Men Color Block Polo Neck Yellow T-Shirt,719,U.S. POLO ASSN.,60%,"1,799",TopWear
103,Men Color Block Polo Neck Grey T-Shirt,719,U.S. POLO ASSN.,60%,"1,799",TopWear
104,Men Printed Round Neck Dark Blue T-Shirt,499,U.S. POLO ASSN.,50%,999,TopWear
105,Men Typography Round Neck White T-Shirt,909,ADIDAS,35%,"1,399",TopWear
106,Men Slim Fit Solid Casual Shirt,"1,619",PETER ENGLAND,10%,"1,799",TopWear
107,Men Slim Fit Striped Spread Collar Formal Shirt,"1,349",PETER ENGLAND,25%,"1,799",TopWear
108,Solid Men Solid Round Neck Black T-Shirt,494,LEVI'S,10%,549,TopWear
109,Men Solid V Neck White T-Shirt,454,U.S. POLO ASSN.,35%,699,TopWear
110,Men Slim Fit Checkered Formal Shirt,"1,039",PETER ENGLAND,35%,"1,599",TopWear
111,Men Slim Fit Printed Spread Collar Formal Shirt,"1,259",PETER ENGLAND,30%,"1,799",TopWear
112,Men Color Block Polo Neck Multicolor T-Shirt,719,U.S. POLO ASSN.,60%,"1,799",TopWear
113,Men Solid Polo Neck Yellow T-Shirt,679,U.S. POLO ASSN.,60%,"1,699",TopWear
114,Men Typography Round Neck Black T-Shirt,839,ADIDAS,40%,"1,399",TopWear
115,Men Solid Polo Neck Red T-Shirt,899,U.S. POLO ASSN.,50%,"1,799",TopWear
